EscoL545	856170	786065	0.918	350	344	343	334	319	271	0	0
EsspL925	2382759	2018619	0.847	348	337	337	329	316	289	0	2
EsspL946	3900179	3503167	0.898	349	343	343	336	322	293	0	1
EsspL756	3912794	3160435	0.808	348	343	343	337	323	304	0	3
EsspL388	4033543	3430664	0.851	349	344	343	337	324	300	0	1
EssuL020	2738138	2338386	0.854	349	344	343	337	323	294	0	1
EsteL704	4074492	3524080	0.865	350	337	335	328	314	284	0	3
EsteL936	1798914	1413644	0.786	348	343	343	337	323	299	0	4
EsteL380	3065427	2834531	0.925	351	336	336	328	315	283	0	1
EsroL620	3833396	3256595	0.850	349	343	343	337	323	293	0	0
EstrL772	2839397	2379952	0.838	348	334	334	328	313	284	0	1
EstrL793	4516234	3745719	0.829	349	344	343	338	325	294	0	1
EstrL882	2748545	2370582	0.862	351	344	343	337	322	286	0	1
EstrL891	2156552	1889047	0.876	347	335	334	328	315	285	0	1
EswaL271	3434516	2976927	0.867	348	340	340	334	319	286	0	1
EswaL779	3065994	2494003	0.813	349	343	343	337	323	293	0	2
EswaL832	6022814	4820537	0.800	350	344	343	338	325	299	0	6
FomaL368	2106349	1708126	0.811	346	334	324	313	291	259	0	0
GranLA10	3120543	2746350	0.880	348	344	342	335	323	302	0	7
GrcaL308	7961728	6671712	0.838	350	345	343	335	325	311	0	5
GrecLA04	5019448	4290008	0.855	352	345	343	336	324	307	0	7
GrloL934	3153489	2684778	0.851	349	344	343	336	324	307	0	5
GrmuL338	2829731	2353618	0.832	350	343	342	335	324	307	0	5
GrneL929	2863102	2329241	0.814	348	336	335	328	317	302	0	4
GrpeLA08	2646245	2307766	0.872	349	336	335	328	316	296	0	4
GrsuL944	2471881	2053796	0.831	348	340	340	333	320	306	0	5
GrthL933	1210762	917452	0.758	343	330	330	322	309	298	0	4
GuanL939	1690307	1311564	0.776	345	335	335	328	318	300	0	3
GuauL291	1456708	1088019	0.747	346	329	329	323	311	297	0	1
GuauL840	4437163	3834568	0.864	348	343	343	337	324	300	0	0
